Question,Answer Disease,Answer Index,Number of Symptoms,llama31b_Answer,extracted,check
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Sick sinus syndrome 2) Varicose veins 3) Yeast infection 4) Placental abruption",Sick sinus syndrome,1,3,"4) Placental abruption
Explanation: The patient is presenting with dizziness, sharp chest pain, and shortness of breath. These symptoms are suggestive of a life-threatening condition that requires immediate medical attention. Placental abruption is",4,different
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Sick sinus syndrome 3) Varicose veins 4) Yeast infection",Sick sinus syndrome,2,3,"2) Sick sinus syndrome
Explanation: Sick sinus syndrome is a condition in which the heart's natural pacemaker (sinus node) does not function properly. This can lead to symptoms such as dizziness, shortness of breath, and chest",2,same
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Varicose veins 3) Sick sinus syndrome 4) Yeast infection",Sick sinus syndrome,3,3,"1) Placental abruption
Explanation: The patient is pregnant, and the symptoms of dizziness, sharp chest pain, and shortness of breath are indicative of placental abruption, a condition where the placenta separates from the uterus",1,different
"A patient is presenting with the following symptoms: Dizziness, Sharp chest pain, Shortness of breath. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Placental abruption 2) Varicose veins 3) Yeast infection 4) Sick sinus syndrome",Sick sinus syndrome,4,3,"1) Placental abruption
Explanation: The patient is pregnant, and the symptoms of dizziness, sharp chest pain, and shortness of breath are indicative of placental abruption, a condition where the placenta separates from the uterus",1,different
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Tinnitus of unknown cause 2) Cyst of the eyelid 3) Acute bronchitis 4) Pemphigus",Tinnitus of unknown cause,1,3,"1) Tinnitus of unknown cause
Explanation: Tinnitus is a symptom of many conditions, including hearing loss, ear infections, and exposure to loud noises. The patient's symptoms of ringing in the ear and diminished hearing are consistent with tinnitus",1,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cyst of the eyelid 2) Tinnitus of unknown cause 3) Acute bronchitis 4) Pemphigus",Tinnitus of unknown cause,2,3,"2) Tinnitus of unknown cause
Explanation: Tinnitus is a symptom of tinnitus of unknown cause. Tinnitus is a symptom of tinnitus of unknown cause. Tinnitus is a symptom of tinnitus of unknown cause. Tinnitus is",2,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Cyst of the eyelid 2) Acute bronchitis 3) Tinnitus of unknown cause 4) Pemphigus",Tinnitus of unknown cause,3,3,"3) Tinnitus of unknown cause
Explanation: Tinnitus is a symptom of ringing in the ear. It can be caused by a variety of factors, including exposure to loud noises, earwax buildup, or certain medications. In this case",3,same
"A patient is presenting with the following symptoms: Ringing in ear, Diminished hearing, Dizziness. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pemphigus 2) Acute bronchitis 3) Cyst of the eyelid 4) Tinnitus of unknown cause",Tinnitus of unknown cause,4,3,"4) Tinnitus of unknown cause
Explanation: Tinnitus is a symptom of tinnitus of unknown cause. Tinnitus is a symptom of tinnitus of unknown cause. Tinnitus is a symptom of tinnitus of unknown cause. Tinnitus is",4,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Glaucoma 2) Herpangina 3) G6PD enzyme deficiency 4) Pulmonary embolism",Glaucoma,1,3,"1) Glaucoma
Explanation: Glaucoma is a group of eye conditions that damage the optic nerve, which is vital for good vision. This damage is often caused by abnormally high pressure in your eye. It's a common cause",1,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pulmonary embolism 2) Glaucoma 3) G6PD enzyme deficiency 4) Herpangina",Glaucoma,2,3,"2) Glaucoma
Explanation: Glaucoma is a group of eye conditions that damage the optic nerve, the health of which is vital for good vision. This damage is often caused by abnormally high pressure in your eye. It is",2,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) G6PD enzyme deficiency 2) Pulmonary embolism 3) Glaucoma 4) Herpangina",Glaucoma,3,3,"3) Glaucoma
Explanation: Glaucoma is a group of eye conditions that damage the optic nerve, which is vital for good vision. This damage is often caused by abnormally high pressure in your eye. It's a common cause",3,same
"A patient is presenting with the following symptoms: Diminished vision, Pain in eye, Symptoms of eye. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Herpangina 2) G6PD enzyme deficiency 3) Pulmonary embolism 4) Glaucoma",Glaucoma,4,3,"4) Glaucoma
Explanation: Glaucoma is a group of eye conditions that damage the optic nerve, which is vital for good vision. This damage is often caused by abnormally high pressure in your eye. It's a common cause",4,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eating disorder 2) Raynaud disease 3) Septic arthritis 4) Pain disorder affecting the neck",Eating disorder,1,3,"1) Eating disorder. Eating disorders are often associated with depression, anxiety, and other psychological symptoms. The patient's symptoms are most consistent with an eating disorder, such as anorexia nervosa or bulimia nervosa. The other options",1,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Septic arthritis 2) Eating disorder 3) Raynaud disease 4) Pain disorder affecting the neck",Eating disorder,2,3,"2) Eating disorder. Eating disorders are often associated with depression, anxiety, and other psychological symptoms. The patient's symptoms are most consistent with an eating disorder, such as anorexia nervosa or bulimia nervosa. Septic arthritis",2,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Pain disorder affecting the neck 2) Raynaud disease 3) Eating disorder 4) Septic arthritis",Eating disorder,3,3,"3) Eating disorder. 

Explanation: The patient is presenting with symptoms of depression, anxiety, and nervousness, which are common symptoms of eating disorders. Eating disorders are characterized by a complex interplay of psychological, social, and biological factors,",3,same
"A patient is presenting with the following symptoms: Depression, Anxiety and nervousness, Depressive or psychotic symptoms. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Raynaud disease 2) Pain disorder affecting the neck 3) Septic arthritis 4) Eating disorder",Eating disorder,4,3,"4) Eating disorder
Explanation: The patient is presenting with symptoms of depression, anxiety, and nervousness, which are common symptoms of eating disorders. Eating disorders are characterized by abnormal eating habits and a distorted body image, which can lead to depressive",4,same
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Transient ischemic attack 2) Tonsillar hypertrophy 3) Eye alignment disorder 4) Pterygium",Transient ischemic attack,1,3,"1) Transient ischemic attack
Explanation: The patient is presenting with loss of sensation, dizziness, and headache. These symptoms are suggestive of a transient ischemic attack (TIA), which is a temporary period of symptoms similar to those",1,same
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Transient ischemic attack 3) Pterygium 4) Tonsillar hypertrophy",Transient ischemic attack,2,3,"2) Transient ischemic attack
Explanation: Transient ischemic attack (TIA) is a temporary period of symptoms similar to those of a stroke. Often called a ""mini-stroke,"" TIA is caused by a temporary decrease in",2,same
"A patient is presenting with the following symptoms: Loss of sensation, Dizziness, Headache. Based on these symptoms, which of the following diseases is the most likely diagnosis?
1) Eye alignment disorder 2) Pterygium 3) Transient ischemic attack 4) Tonsillar hypertrophy",Transient ischemic attack,3,3,"3) Transient ischemic attack
Explanation: Transient ischemic attack (TIA) is a temporary period of symptoms similar to those of a stroke. Often called a ""mini-stroke,"" TIA is caused by a temporary decrease in",3,same
